,
Nombre,CodigoBarra,Categoria,FechaCaducidad,Marca,Precio,Stock
Pet First Aid Kit,1,Pets,2026-10-05,Liberty Broadband Corporation,365.53,481
Sweet Potato Noodles,2,Food - Pasta,2026-05-06,Sanchez Energy Corporation,648.46,831
"Rechargeable Hand Warmer,3,Accessories,2025-06-04,""Liquidity Services, Inc."",92.69,926"
"Vegetable Medley,4,Food - Produce,2025-09-01,""Genesis Healthcare, Inc."",423.57,524"
Basic V-Neck T-Shirt,5,Clothing - Tops,2026-02-04,Investar Holding Corporation,411.57,625
Grilled Veggie Burgers,6,Food - Meat Alternatives,2025-04-19,Ferroglobe PLC,145.65,163
Frozen Salmon Filets,7,Food - Seafood,2026-03-10,Investar Holding Corporation,638.59,965
Organic Baby Spinach,8,Food - Produce,2026-05-15,Ardmore Shipping Corporation,276.61,666
Striped Long Sleeve Shirt,9,Clothing - Shirts,2025-05-11,Petrobras Argentina S.A.,374.61,495
Garden Hose Reel,10,Garden,2026-03-06,Newtek Business Services Corp.,442.0,943
Electric Can Opener,11,Kitchen,2026-06-13,Sussex Bancorp,501.0,487
Blueberry Muffin Mix,12,Food - Baking,2025-06-22,First Trust Small Cap Growth AlphaDEX Fund,901.65,432
Wireless Charger Stand,13,Electronics,2025-12-28,Career Education Corporation,960.36,250
Gardening Tool Belt,14,Garden,2025-10-31,General Cable Corporation,207.54,949
"Pineapple Coconut Yogurt,15,Food - Dairy,2026-05-14,""Monro Muffler Brake, Inc."",357.7,531"
Tomato Basil Soup,16,Food - Canned Goods,2025-04-18,First Trust Global Tactical Commodity Strategy Fund,715.89,798
"Chocolate Coconut Protein Balls,17,Food - Snacks,2026-03-18,""Wynn Resorts, Limited"",256.66,833"
Travel Organizer,18,Travel,2026-09-03,IHS Markit Ltd.,906.28,569
Handcrafted Wooden Coasters,19,Home,2025-04-28,Kroger Company (The),98.0,543
Fashionable Belt Bag,20,Accessories,2026-04-25,MSG Networks Inc.,492.08,679
Cucumber,21,Food - Produce,2026-09-22,Tenet Healthcare Corporation,407.46,594
"Key Finder,22,Accessories,2026-07-24,""Lands' End, Inc."",542.35,325"
"Savory Breakfast Sausage,23,Food - Meats,2025-11-03,""General American Investors, Inc."",284.65,904"
Whisk Set,24,Kitchen,2026-01-17,CNH Industrial N.V.,224.11,374
Beef Chili,25,Food - Canned Goods,2026-07-25,Liberty Global plc,618.28,195
High-Speed Blender,26,Kitchen,2026-06-26,Otelco Inc.,281.64,467
Electric Knife,27,Kitchen,2025-07-08,Seaspan Corporation,284.81,905
Ginger Turmeric Tea,28,Food - Beverages,2026-08-11,Capitol Acquisition Corp. III,97.51,626
"Sliced Avocado,29,Food - Produce,2026-07-11,""Old Line Bancshares, Inc."",939.68,709"
Crafting Kit,30,Art Supplies,2026-06-23,Norfolk Souther Corporation,971.22,436
Maple Bacon Jerky,31,Food - Meat,2026-02-11,GasLog Partners LP,37.52,989
Garlic Parmesan Wings,32,Food - Frozen Foods,2025-09-27,Vornado Realty Trust,519.51,180
DIY Organic Gardening Kit,33,Garden,2025-06-14,Restaurant Brands International Inc.,914.81,46
"Rolling Cooler,34,Outdoor,2025-05-27,""Varian Medical Systems, Inc."",824.97,253"
Tactical Backpack,35,Outdoor,2026-12-08,Cincinnati Bell Inc,268.12,950
Kids' Gardening Tools Set,36,Toys,2025-10-29,Macquarie/First Trust Global,541.02,656
"Electric Wax Warmer,37,Home,2026-10-09,""Stag Industrial, Inc."",339.72,566"
"Apple Cinnamon Breakfast Muffins,38,Food - Bakery,2025-07-31,""Halyard Health, Inc."",334.35,160"
Travel Pillow,39,Travel,2026-04-02,John Hancock Tax Advantaged Dividend Income Fund,528.45,395
Grilled Vegetable Medley,40,Food - Vegetables,2026-08-14,MiX Telematics Limited,147.15,753
Pet Tracking Collar,41,Pets,2025-12-14,Banco Bradesco Sa,28.39,953
Sustainable Wooden Toys,42,Toys,2026-10-25,WisdomTree Germany Hedged Equity Fund,745.0,109
Cinnamon Raisin Bread,43,Food - Bakery,2026-09-04,Fabrinet,548.53,858
"Reusable Food Storage Bags,44,Kitchen,2026-09-13,""Gabelli Equity Trust, Inc. (The)"",556.81,440"
"Frozen Chicken Nuggets,45,Food - Frozen Foods,2025-04-10,""KAR Auction Services, Inc"",480.61,906"
Frozen Vegetarian Pizza,46,Food - Frozen Meals,2026-10-29,X-Links Gold Shares Covered Call ETN,192.49,748
Dog Training Whistle,47,Pets,2026-06-07,500.com Limited,179.45,177
Silicone Baking Cups,48,Kitchen,2026-07-02,Biogen Inc.,662.56,113
Organic Quinoa Salad,49,Food - Prepared Meals,2025-07-30,Blackrock New York Municipal Bond Trust,604.05,574
Chocolate Almond Milk,50,Food - Dairy Alternatives,2025-07-26,Senior Housing Properties Trust,897.37,249
Almond Milk,51,Food - Dairy,2026-10-10,Avista Corporation,778.28,934
Coconut Lime Rice,52,Food - Sides,2025-12-24,Oracle Corporation,555.89,597
Outdoor String Lights,53,Outdoor,2026-02-01,Crawford & Company,355.94,424
Lentil Pasta,54,Food - Pasta,2025-04-18,The Charles Schwab Corporation,46.21,432
Deep Tissue Massage Gun,55,Health,2025-10-14,Presbia PLC,926.2,765
"Pet Hair Removal Brush,56,Pets,2025-10-22,""Stag Industrial, Inc."",585.69,31"
Compressed Towel Tablets,57,Travel,2026-05-21,Canadian Natural Resources Limited,943.44,300
Set of Gardening Gloves with Claws,58,Garden,2025-06-02,PowerShares International Dividend Achievers Portfolio,327.91,558
"Spinach and Feta Stuffed Chicken Breast,59,Food - Meat,2025-05-13,""Prudential Financial, Inc."",933.57,96"
Fruit Infuser Water Bottle,60,Fitness,2026-07-18,Geopark Ltd,646.81,869
Wi-Fi Enabled Smart Light Switch,61,Smart Home,2026-04-27,Benitec Biopharma Limited,407.53,937
Cordless Water Flosser,62,Health,2026-08-01,Comcast Corporation,926.39,517
