Nombre,Barcode,Categoria,FechaVencimiento,Marca,Precio,Stock
Aceite Vegetal 1L,1000001,Abarrotes,2026-08-05,1-2-3,35.50,100
Arroz Blanco 1kg,1000002,Granos,2027-01-20,Verde Valle,22.10,200
Atun en Agua 140g,1000003,Enlatados,2028-05-15,Dolores,18.50,500
Azucar Blanca 1kg,1000004,Abarrotes,2027-03-10,Zulka,28.00,150
Cafe Soluble 200g,1000005,Bebidas,2027-11-20,Nescafe,105.00,80
Cereal de Maiz,1000006,Desayuno,2026-12-01,Kelloggs,45.90,60
Detergente Polvo 1kg,1000007,Limpieza,2029-01-01,Ace,32.50,120
Frijol Negro 1kg,1000008,Granos,2026-10-15,Isadora,34.00,300
Galletas Maria 170g,1000009,Galletas,2026-06-30,Gamesa,15.50,400
Leche Entera 1L,1000010,Lacteos,2026-05-12,Lala,26.00,250
Pan de Caja Large,1000011,Panaderia,2026-04-05,Bimbo,42.00,90
Papel Higienico 4pzs,1000012,Limpieza,2030-01-01,Regio,25.00,600
Pasta Spaguetti 200g,1000013,Pastas,2027-08-20,Barilla,12.50,180
Refresco Cola 600ml,1000014,Bebidas,2026-10-10,Coca-Cola,17.00,1000
Shampoo Anticaspa,1000015,Cuidado Personal,2027-02-28,Head & Shoulders,65.00,75
Yogurt Bebible,1000016,Lacteos,2026-04-20,Danone,14.50,120
Jabon de Barra,1000017,Cuidado Personal,2028-12-31,Zest,11.00,300
Lentejas 500g,1000018,Granos,2027-05-05,Verde Valle,19.00,140
Mayonesa 400g,1000019,Abarrotes,2026-09-15,McCormick,48.00,85
Mermelada Fresa,1000020,Abarrotes,2027-01-01,McCormick,36.50,70
Harina de Trigo,1000021,Harinas,2026-12-15,Maseca,14.00,220
Sal de Mesa 500g,1000022,Abarrotes,2030-01-01,Fina,8.50,400
Ketchup 380g,1000023,Salsas,2026-11-20,Heinz,24.00,95
Mostaza 200g,1000024,Salsas,2026-10-05,McCormick,18.50,60
Sardinas en Tomate,1000025,Enlatados,2028-04-12,Pescador,29.00,45
Chocolate en Barra,1000026,Dulces,2026-09-30,Hershey,12.00,300
Gomitas de Fruta,1000027,Dulces,2026-07-20,Panditas,10.00,150
Papas Fritas 100g,1000028,Snacks,2026-03-15,Sabritas,16.00,80
Nachos de Maiz,1000029,Snacks,2026-04-10,Doritos,17.50,110
Cacahuates Salados,1000030,Snacks,2026-05-25,Mafer,14.00,130
Helado Vainilla 1L,1000031,Congelados,2026-02-15,Holanda,55.00,40
Pizza Congelada,1000032,Congelados,2026-03-20,Fud,85.00,25
Verduras Mixtas,1000033,Congelados,2026-06-10,La Huerta,22.00,60
Servilletas 100pzs,1000034,Limpieza,2029-12-31,Pétalo,19.00,180
Suavizante Telas,1000035,Limpieza,2027-10-10,Downy,48.00,70
Limpiador Multiusos,1000036,Limpieza,2028-05-05,Fabuloso,22.50,110
Cloro 1L,1000037,Limpieza,2027-12-01,Cloralex,15.00,200
Pasta de Dientes,1000038,Cuidado Personal,2027-04-15,Colgate,32.00,140
Desodorante Spray,1000039,Cuidado Personal,2028-01-20,Rexona,55.00,90
Jabon Liquido Manos,1000040,Cuidado Personal,2027-09-30,Dial,28.00,120
Crema Corporal,1000041,Cuidado Personal,2027-11-15,Nivea,75.00,55
Mantequilla 90g,1000042,Lacteos,2026-03-25,Primavera,16.00,80
Huevo Blanco 12pzs,1000043,Lacteos,2026-04-02,San Juan,38.00,150
Queso Panela 400g,1000044,Lacteos,2026-04-10,Nochebuena,65.00,40
Salchicha de Pavo,1000045,Embutidos,2026-03-28,Fud,32.00,100
Jamon de Pierna,1000046,Embutidos,2026-04-05,Zwan,45.00,70
Tostadas de Maiz,1000047,Abarrotes,2026-08-30,Milpa Real,28.00,120
Canela Molida,1000048,Especias,2028-01-01,McCormick,12.00,50
Pimienta Negra,1000049,Especias,2028-05-20,McCormick,15.00,45
Vinagre Blanco,1000050,Abarrotes,2029-01-01,Clemente Jacques,11.50,100
Avena en Hojuelas,1000051,Desayuno,2027-02-10,Quaker,24.50,180
Granola con Miel,1000052,Desayuno,2026-11-05,Kelloggs,42.00,90
Barra de Multicereal,1000053,Snacks,2026-09-15,Stila,8.50,300
Té Verde 20 pzs,1000054,Bebidas,2027-12-20,Lipton,19.00,120
Té de Manzanilla,1000055,Bebidas,2027-10-10,McCormick,15.50,150
Café de Grano 1kg,1000056,Bebidas,2027-04-05,Starbucks,280.00,30
Sustituto de Crema,1000057,Bebidas,2027-01-30,CofeeMate,45.00,100
Chocolate en Polvo,1000058,Bebidas,2027-08-12,Chocomilk,38.00,140
Leche de Almendra,1000059,Lacteos,2026-06-20,Silk,48.00,60
Leche de Soya,1000060,Lacteos,2026-05-15,Ades,32.00,85
Yogurt Griego Nat,1000061,Lacteos,2026-04-18,Chobani,22.00,45
Gelatina de Fresa,1000062,Dulces,2027-03-10,Jell-O,10.50,200
Flan Instantaneo,1000063,Dulces,2027-05-25,Pronto,12.00,110
Jarabe de Chocolate,1000064,Dulces,2026-12-31,Hershey,55.00,50
Miel de Abeja,1000065,Abarrotes,2028-01-01,Carlota,85.00,40
Miel de Maple,1000066,Abarrotes,2027-09-15,AuntJemima,62.00,35
Harina para Hotcakes,1000067,Harinas,2027-02-20,Gamesa,34.00,120
Pan Molido 250g,1000068,Panaderia,2026-10-10,Bimbo,18.00,160
Pan Tostado Doble,1000069,Panaderia,2026-11-25,Bimbo,32.00,95
Tortillas de Harina,1000070,Abarrotes,2026-04-30,TiaRosa,22.50,140
Tostadas Horneadas,1000071,Abarrotes,2026-08-20,Salmas,28.00,200
Palomitas Naturales,1000072,Snacks,2027-01-15,ACTII,12.50,300
Papas Onduladas,1000073,Snacks,2026-05-10,Ruffles,18.00,120
Chicharrón de Cerdo,1000074,Snacks,2026-06-05,Sabritas,22.00,80
Salsa Picante 370ml,1000075,Salsas,2028-04-12,Valentina,15.50,400
Salsa Verde Casera,1000076,Salsas,2026-07-20,Herdez,24.00,90
Chiles en Vinagre,1000077,Enlatados,2028-10-30,LaCosteña,19.50,150
Elote en Grano,1000078,Enlatados,2028-02-15,Herdez,16.50,220
Champiñones Trozo,1000079,Enlatados,2027-11-01,Monteblanco,25.00,110
Aceitunas Rellenas,1000080,Abarrotes,2027-05-10,Bufalo,38.00,60
Alimento para Perro,1000081,Mascotas,2026-12-15,Pedigree,145.00,40
Alimento para Gato,1000082,Mascotas,2026-11-20,Whiskas,132.00,35
Arena para Gato,1000083,Mascotas,2029-01-01,ScoopFree,180.00,20
